Fecha de Inscripción;Género;Distrito;Tramos de Edad;Nacionalidad;Código Objetivo Profesional 1;Objetivo Profesional 1;Código Objetivo Profesional 2;Objetivo Profesional 2;Código Objetivo Profesional 3;Objetivo Profesional 3
ene-19;Mujer;Otro Municipio;Entre 36 y 45 años;Española;3613;Asistentes de dirección y administrativos;4500;Empleados administrativos con tareas de atención al público no clasificados bajo otros epígrafes;2329;Profesores y profesionales de la enseñanza no clasificados bajo otros epígrafes
ene-19;Mujer;Usera;Entre 36 y 45 años;Española;;;;;;
ene-19;Mujer;Arganzuela;Menor de 25 años;Española;;;;;;
ene-19;Hombre;Usera;Entre 56 y 65 años;Española;5110;Cocineros asalariados;5833;Conserjes de edificios;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares
ene-19;Mujer;Hortaleza;Entre 46 y 55 años;Extracomunitaria;5710;Trabajadores de los cuidados personales a domicilio;9100;Empleados domésticos;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares
ene-19;Mujer;Ciudad Lineal;Entre 36 y 45 años;Española;4500;Empleados administrativos con tareas de atención al público no clasificados bajo otros epígrafes;4424;Teleoperadores;;
ene-19;Hombre;Otro Municipio;Entre 36 y 45 años;Extracomunitaria;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;;;;
ene-19;Mujer;Arganzuela;Entre 46 y 55 años;Española;2322;Profesores de enseñanza no reglada de idiomas;4411;Empleados de información al usuario;4412;Recepcionistas (excepto de hoteles)
ene-19;Mujer;Vicálvaro;Entre 36 y 45 años;Española;4500;Empleados administrativos con tareas de atención al público no clasificados bajo otros epígrafes;4424;Teleoperadores;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares
ene-19;Mujer;Carabanchel;Entre 26 y 35 años;Extracomunitaria;2431;Ingenieros industriales y de producción;3613;Asistentes de dirección y administrativos;3613;Asistentes de dirección y administrativos
ene-19;Hombre;Vicálvaro;Entre 46 y 55 años;Española;2932;Compositores, músicos y cantantes;2323;Profesores de enseñanza no reglada de música y danza;2935;Actores
ene-19;Mujer;Arganzuela;Entre 56 y 65 años;Española;2140;Farmacéuticos;;;;
ene-19;Mujer;Villa De Vallecas;Entre 36 y 45 años;Española;5500;Cajeros y taquilleros (excepto bancos);9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;5220;Vendedores en tiendas y almacenes
ene-19;Mujer;Puente De Vallecas;Entre 56 y 65 años;Española;5722;Cuidadores de niños en domicilios;5721;Cuidadores de niños en guarderías y centros educativos;9100;Empleados domésticos
ene-19;Mujer;Villa De Vallecas;Entre 46 y 55 años;Española;2424;Ingenieros técnicos agrícolas;3202;Supervisores de la construcción;2432;Ingenieros en construcción y obra civil
ene-19;Mujer;Villa De Vallecas;Entre 26 y 35 años;Comunitaria;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;9100;Empleados domésticos;9310;Ayudantes de cocina
ene-19;Hombre;Vicálvaro;Entre 26 y 35 años;Extracomunitaria;5942;Auxiliares de vigilante de seguridad y similares no habilitados para ir armados;5120;Camareros asalariados;5833;Conserjes de edificios
ene-19;Mujer;Villa De Vallecas;Entre 46 y 55 años;Española;3812;Técnicos en asistencia al usuario de tecnologías de la información;3613;Asistentes de dirección y administrativos;4111;Empleados de contabilidad
ene-19;Mujer;Villaverde;Entre 56 y 65 años;Española;9310;Ayudantes de cocina;;;;
ene-19;Hombre;Moncloa-aravaca;Menor de 25 años;Extracomunitaria;4422;Recepcionistas de hoteles;4221;Empleados de servicios de correos (excepto empleados de mostrador);8412;Conductores asalariados de automóviles, taxis y furgonetas
