Fecha de Inscripción;Género;Distrito;Tramos de Edad;Nacionalidad;Código Objetivo Profesional 1;Objetivo Profesional 1;Código Objetivo Profesional 2;Objetivo Profesional 2;Código Objetivo Profesional 3;Objetivo Profesional 3
ene-21;Hombre;Otro Municipio;Entre 26 y 35 años;Española;5992;Bañistas-socorristas;3722;Entrenadores y árbitros de actividades deportivas;3724;Monitores de actividades recreativas y de entretenimiento
ene-21;Mujer;Ciudad Lineal;Entre 26 y 35 años;Extracomunitaria;5812;Especialistas en tratamientos de estética, bienestar y afines;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;5420;Operadores de telemarketing
ene-21;Mujer;Ciudad Lineal;Entre 46 y 55 años;Española;3613;Asistentes de dirección y administrativos;3812;Técnicos en asistencia al usuario de tecnologías de la información;4500;Empleados administrativos con tareas de atención al público no clasificados bajo otros epígrafes
ene-21;Mujer;Carabanchel;Menor de 25 años;Española;5420;Operadores de telemarketing;3141;Técnicos en ciencias biológicas (excepto en áreas sanitarias);6410;Trabajadores cualificados en actividades forestales y del medio natural
ene-21;Mujer;Otro Municipio;Entre 26 y 35 años;Española;3160;Técnicos de control de calidad de las ciencias físicas, químicas y de las ingenierías;3510;Agentes y representantes comerciales;;
ene-21;Mujer;Centro;Entre 26 y 35 años;Española;2824;Profesionales del trabajo y la educación social;2156;Terapeutas ocupacionales;3713;Profesionales de apoyo al trabajo y a la educación social
ene-21;Mujer;Hortaleza;Entre 46 y 55 años;Comunitaria;9100;Empleados domésticos;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;;
ene-21;Mujer;Carabanchel;Menor de 25 años;Española;5722;Cuidadores de niños en domicilios;5721;Cuidadores de niños en guarderías y centros educativos;5120;Camareros asalariados
ene-21;Mujer;Villaverde;Entre 26 y 35 años;Extracomunitaria;4412;Recepcionistas (excepto de hoteles);3613;Asistentes de dirección y administrativos;4424;Teleoperadores
ene-21;Mujer;Carabanchel;Entre 56 y 65 años;Española;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;5710;Trabajadores de los cuidados personales a domicilio;9100;Empleados domésticos
ene-21;Mujer;Usera;Entre 46 y 55 años;Española;5811;Peluqueros;5220;Vendedores en tiendas y almacenes;5833;Conserjes de edificios
ene-21;Mujer;Villa De Vallecas;Menor de 25 años;Española;5120;Camareros asalariados;4411;Empleados de información al usuario;9811;Peones del transporte de mercancías y descargadores
