Fecha de Inscripción;Género;Distrito;Tramos de Edad;Nacionalidad;Código Objetivo Profesional 1;Objetivo Profesional 1;Código Objetivo Profesional 2;Objetivo Profesional 2;Código Objetivo Profesional 3;Objetivo Profesional 3
ene-17;Hombre;Villa De Vallecas;Entre 26 y 35 años;Española;9811;Peones del transporte de mercancías y descargadores;7510;Electricistas de la construcción y afines;5220;Vendedores en tiendas y almacenes
ene-17;Hombre;Villa De Vallecas;Entre 36 y 45 años;Española;5833;Conserjes de edificios;5942;Auxiliares de vigilante de seguridad y similares no habilitados para ir armados;9700;Peones de las industrias manufactureras
ene-17;Hombre;Villaverde;Entre 36 y 45 años;Española;5833;Conserjes de edificios;7191;Mantenedores de edificios;7221;Fontaneros
ene-17;Hombre;Villa De Vallecas;Entre 26 y 35 años;Comunitaria;7533;Instaladores y reparadores en tecnologías de la información y las comunicaciones;9820;Reponedores;9420;Repartidores de publicidad, limpiabotas y otros trabajadores de oficios callejeros
ene-17;Mujer;Puente De Vallecas;Entre 26 y 35 años;Española;9100;Empleados domésticos;5710;Trabajadores de los cuidados personales a domicilio;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares
ene-17;Hombre;Chamberí;Entre 56 y 65 años;Española;4411;Empleados de información al usuario;5833;Conserjes de edificios;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares
ene-17;Hombre;Puente De Vallecas;Entre 26 y 35 años;Española;9512;Peones agrícolas en huertas, invernaderos, viveros y jardines;9820;Reponedores;5500;Cajeros y taquilleros (excepto bancos)
ene-17;Hombre;Puente De Vallecas;Entre 56 y 65 años;Española;7121;Albañiles;5120;Camareros asalariados;5942;Auxiliares de vigilante de seguridad y similares no habilitados para ir armados
ene-17;Hombre;Moncloa-aravaca;Entre 46 y 55 años;Española;3510;Agentes y representantes comerciales;5220;Vendedores en tiendas y almacenes;2651;Profesionales de la publicidad y la comercialización
ene-17;Hombre;Otro Municipio;Entre 26 y 35 años;Española;8333;Operadores de carretillas elevadoras;5120;Camareros asalariados;5220;Vendedores en tiendas y almacenes
ene-17;Hombre;Retiro;Entre 56 y 65 años;Española;7522;Instaladores y reparadores de líneas eléctricas;5833;Conserjes de edificios;3629;Otros profesionales de apoyo de la Administración Pública para tareas de inspección y control y tareas similares
ene-17;Mujer;Barajas;Entre 36 y 45 años;Española;2432;Ingenieros en construcción y obra civil;3202;Supervisores de la construcción;;
ene-17;Mujer;Puente De Vallecas;Menor de 25 años;Española;5220;Vendedores en tiendas y almacenes;5500;Cajeros y taquilleros (excepto bancos);;
ene-17;Hombre;Usera;Entre 26 y 35 años;Extracomunitaria;9820;Reponedores;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;9512;Peones agrícolas en huertas, invernaderos, viveros y jardines
ene-17;Hombre;Latina;Entre 36 y 45 años;Española;9512;Peones agrícolas en huertas, invernaderos, viveros y jardines;7510;Electricistas de la construcción y afines;7401;Mecánicos y ajustadores de vehículos de motor
ene-17;Mujer;Usera;Menor de 25 años;Española;5220;Vendedores en tiendas y almacenes;3532;Organizadores de conferencias y eventos;;
ene-17;Hombre;Arganzuela;Entre 46 y 55 años;Española;8412;Conductores asalariados de automóviles, taxis y furgonetas;9811;Peones del transporte de mercancías y descargadores;;
