Fecha de Inscripción;Género;Distrito;Tramos de Edad;Nacionalidad;Código Objetivo Profesional 1;Objetivo Profesional 1;Código Objetivo Profesional 2;Objetivo Profesional 2;Código Objetivo Profesional 3;Objetivo Profesional 3
enero-18;Mujer;Carabanchel;Entre 26 y 35 años;Española;5611;Auxiliares de enfermería hospitalaria;5611;Auxiliares de enfermería hospitalaria;5710;Trabajadores de los cuidados personales a domicilio
enero-18;Mujer;Tetuán;Entre 36 y 45 años;Española;5120;Camareros asalariados;5220;Vendedores en tiendas y almacenes;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares
enero-18;Mujer;Arganzuela;Entre 46 y 55 años;Comunitaria;3522;Agentes de compras;2432;Ingenieros en construcción y obra civil;4424;Teleoperadores
enero-18;Mujer;Puente De Vallecas;Entre 26 y 35 años;Extracomunitaria;4500;Empleados administrativos con tareas de atención al público no clasificados bajo otros epígrafes;4412;Recepcionistas (excepto de hoteles);5420;Operadores de telemarketing
enero-18;Hombre;Puente De Vallecas;Entre 36 y 45 años;Española;7111;Encofradores y operarios de puesta en obra de hormigón;9811;Peones del transporte de mercancías y descargadores;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares
enero-18;Mujer;Latina;Entre 56 y 65 años;Española;5420;Operadores de telemarketing;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;9100;Empleados domésticos
enero-18;Hombre;Moratalaz;Entre 36 y 45 años;Comunitaria;8331;Operadores de maquinaria de movimientos de tierras y equipos similares;9512;Peones agrícolas en huertas, invernaderos, viveros y jardines;7191;Mantenedores de edificios
enero-18;Hombre;Salamanca;Entre 26 y 35 años;Española;9431;Ordenanzas;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;9811;Peones del transporte de mercancías y descargadores
enero-18;Hombre;Puente De Vallecas;Entre 26 y 35 años;Extracomunitaria;9310;Ayudantes de cocina;9310;Ayudantes de cocina;9820;Reponedores
enero-18;Hombre;Latina;Entre 26 y 35 años;Extracomunitaria;9310;Ayudantes de cocina;5220;Vendedores en tiendas y almacenes;;
